ATO;101.74;true;8;105.0;118.63;118.5;132.0;true;2.4;0.55;true;18.6;2.72;2022-08-19;0.27;1.01
ATVI;72.71;true;23;79.0;94.78;95.0;130.0;true;2.3;0.52;true;30.42;0.47;2022-04-13;5.59;6.18
AVB;174.89;true;22;181.0;223.55;222.5;282.0;true;2.5;0.94;true;30.05;6.36;2022-09-29;0.28;0.89
AVGO;449.73;true;22;540.0;644.8;640.0;775.0;true;1.9;1.12;true;19.42;16.4;2022-09-21;1.89;2.32
AVY;171.04;true;12;172.0;204.67;202.0;250.0;true;2.1;0.99;true;18.71;3.0;2022-09-06;0.59;0.98
AWK;132.76;true;12;130.0;158.17;154.5;186.0;true;2.6;0.5;true;18.57;2.62;2022-08-08;0.44;0.59
AXP;140.04;true;24;130.0;170.17;170.0;220.0;true;2.4;1.14;true;14.05;2.08;2022-10-13;1.73;1.73
AZO;2301.03;true;19;1850.0;2383.16;2413.0;2800.0;true;2.1;0.73;true;19.27;0.0;;0.03;0.77
BA;141.32;false;0;0.0;0.0;0.0;0.0;false;0.0;1.42;true;0.0;0.0;2020-02-13;0.28;1.25
BAC;34.95;true;24;32.0;40.91;40.0;55.0;true;2.2;1.36;true;11.06;0.88;2022-12-01;0.0;0.0
BALL;49.2;true;18;46.0;59.28;55.0;90.0;true;2.7;0.68;true;21.48;0.8;2022-08-31;0.56;1.0
BAX;56.43;true;14;60.0;66.71;67.5;77.0;true;2.2;0.6;true;28.22;1.16;2022-09-01;1.13;2.01
BBWI;33.71;false;0;0.0;0.0;0.0;0.0;false;0.0;1.73;true;8.39;0.8;2022-08-18;0.51;1.39
BBY;63.77;true;20;56.0;78.67;78.75;110.0;true;2.9;1.49;true;8.54;3.52;2022-09-19;0.21;0.96
BDX;223.6;true;11;227.0;277.82;280.0;319.0;true;2.4;0.63;true;33.98;3.48;2022-09-08;0.68;1.35
BEN;22.53;true;11;19.0;21.55;21.0;24.0;true;3.3;1.26;true;6.69;1.16;2022-09-29;1.71;4.37
BF-B;63.9;true;16;62.0;72.94;72.5;90.0;true;3.1;0.68;true;34.35;0.75;2022-09-02;1.57;3.53
BIIB;267.61;true;27;200.0;279.03;275.0;360.0;true;2.2;0.17;true;18.78;0.0;;1.36;1.94
BIO;378.21;true;4;700.0;703.75;700.0;715.0;true;1.6;1.03;true;0.0;0.0;;3.95;5.3
BK;40.23;true;15;41.0;47.5;47.0;57.0;true;2.4;1.08;true;12.27;1.48;2022-10-26;0.0;0.0
BKNG;1822.79;true;27;1890.0;2349.31;2300.0;2800.0;true;2.2;1.24;true;47.38;0.0;;1.37;1.45
BKR;26.67;true;22;26.0;33.33;33.0;40.0;true;2.0;1.42;true;66.67;0.72;2022-08-08;0.98;1.51
BLK;597.26;true;12;481.0;620.58;621.0;751.0;true;2.1;1.27;true;16.45;19.52;2022-09-06;0.0;0.0
BMY;72.21;true;17;61.0;81.17;85.0;94.0;true;2.3;0.36;true;23.99;2.16;2022-10-06;1.23;1.44
BR;140.99;true;5;160.0;179.2;175.0;204.0;true;2.8;0.96;true;30.99;2.9;2022-09-14;0.89;1.01
BRO;61.53;true;9;66.0;70.67;70.0;75.0;true;2.6;0.79;true;28.49;0.46;2022-11-01;1.32;1.84
BSX;40.57;true;24;43.0;48.57;49.5;53.0;true;1.7;0.82;true;71.18;0.0;;0.56;1.31
BWA;34.54;true;15;32.0;45.01;42.0;75.0;true;2.4;1.39;true;12.98;0.68;2022-08-31;1.24;1.77
BXP;72.5;true;18;71.0;90.06;93.5;110.0;true;2.5;1.11;true;17.26;3.92;2022-09-29;2.93;3.22
C;44.26;true;24;42.0;56.76;53.0;95.0;true;2.5;1.58;true;5.94;2.04;2022-11-04;0.0;0.0
CAG;34.69;true;15;33.0;36.5;36.0;41.0;true;2.7;0.56;true;29.15;1.32;2022-11-02;0.21;0.78
CAH;73.03;true;13;56.0;70.92;72.0;80.0;true;2.8;0.78;true;0.0;1.98;2022-09-30;0.5;1.08
CARR;35.19;true;18;38.0;44.78;44.0;58.0;true;2.4;1.13;true;11.21;0.6;2022-10-27;1.18;1.67
CAT;190.22;false;0;0.0;0.0;0.0;0.0;true;3.0;1.01;true;15.23;4.8;2022-10-21;0.83;1.45
CB;197.79;false;0;0.0;0.0;0.0;0.0;false;0.0;0.66;true;11.92;3.32;2022-09-15;0.2;0.4
CBOE;119.87;true;13;120.0;137.23;137.0;162.0;true;2.4;0.58;true;61.16;2.0;2022-08-30;0.55;1.21
CBRE;69.31;true;7;86.0;96.57;93.0;116.0;true;1.9;1.39;true;11.65;0.0;;0.88;1.16
CCI;123.59;true;17;135.0;179.06;180.0;230.0;true;2.4;0.68;true;33.13;6.26;2022-12-14;0.27;0.46
CCL;8.2;true;1;30.68;30.68;30.68;30.68;true;2.0;2.06;true;0.0;0.0;2020-02-20;0.59;0.65
CDAY;57.91;false;0;0.0;0.0;0.0;0.0;true;2.0;1.44;true;0.0;0.0;;0.09;1.06
CDNS;158.34;true;13;170.0;194.62;200.0;215.0;true;2.1;1.15;true;54.6;0.0;;1.39;1.59
CDW;162.43;true;9;200.0;212.93;210.0;240.0;true;1.8;1.12;true;22.1;2.0;2022-08-24;1.06;1.3
CE;94.64;true;23;86.0;126.74;125.0;180.0;true;2.6;1.26;true;5.24;2.8;2022-10-28;1.01;1.72
CEG;87.28;true;14;54.0;92.71;95.5;121.0;true;1.9;0.0;true;43.0;0.56;2022-08-12;0.58;1.38
CF;107.37;true;19;78.0;116.21;120.0;135.0;true;2.4;1.0;true;8.81;1.6;2022-11-14;2.82;3.41
CFG;37.94;true;19;33.0;44.5;45.0;55.0;true;2.0;1.32;true;9.46;1.68;2022-11-01;0.0;0.0
CHD;73.19;true;19;69.0;82.74;83.0;92.93;true;2.9;0.44;true;23.23;1.05;2022-08-12;0.61;1.01
CHRW;94.08;true;23;67.0;108.57;110.0;135.0;true;2.8;0.79;true;11.32;2.2;2022-09-01;1.45;1.48
CHTR;330.4;true;25;273.0;521.64;488.0;800.0;true;2.6;1.04;true;10.56;0.0;;0.29;0.33
